"LME","MedianTotalEggChange","MedianPercentageEggChange","MedianTotalFishChange","MedianPercentageFishChange"
"Agulhas Current","-1e-07 (2.5e-06)","-3.47 (15.75)","0 (0.17)","-1.12 (5.38)"
"Aleutian Islands","3e-07 (7e-07)","3.15 (5.74)","0.04 (0.09)","0.97 (1.71)"
"Antarctica","0e+00 (0e+00)","0.65 (145.79)","0 (0.01)","0 (12.87)"
"Arabian Sea","0e+00 (1.4e-06)","-1.1 (5.24)","0 (0.05)","-0.33 (1.71)"
"Baltic Sea","0e+00 (2.4e-06)","-1.14 (5.58)","-0.12 (0.49)","-0.42 (2.36)"
"Barents Sea","0e+00 (4e-07)","-1.13 (17.34)","-0.01 (0.13)","-0.75 (11.99)"
"Bay of Bengal","-1e-07 (1.7e-06)","-1.86 (7.83)","0 (0.04)","-0.53 (2.26)"
"Beaufort Sea","0e+00 (0e+00)","-1.74 (12.31)","0 (0.03)","-0.93 (7.48)"
"Benguela Current","6e-07 (1.27e-05)","4.66 (14.23)","0.03 (0.72)","1.1 (3.34)"
"California Current","0e+00 (8e-07)","-0.6 (3.32)","0 (0.06)","-0.21 (0.91)"
"Canadian Eastern Arctic - West Greenland","0e+00 (2e-07)","0.07 (30.53)","0 (0.08)","0.16 (17.43)"
"Canary Current","0e+00 (6.1e-06)","0.15 (8.23)","0 (0.26)","0.04 (1.97)"
"Caribbean Sea","0e+00 (2.4e-06)","-1.42 (28.02)","0 (0.07)","-0.41 (4.31)"
"Celtic-Biscay Shelf","0e+00 (2.1e-06)","-0.67 (3.79)","-0.01 (0.16)","-0.2 (1.31)"
"East Bering Sea","0e+00 (9e-07)","0.47 (5.87)","0 (0.13)","0.11 (2.1)"
"East Brazil Shelf","-1e-07 (2.4e-06)","-4.02 (10.8)","0 (0.09)","-1.03 (2.98)"
"East Central Australian Shelf","-1e-07 (1e-06)","-2.47 (14.43)","0 (0.03)","-1 (4.39)"
"East China Sea","-3e-07 (5.8e-06)","-3.93 (13.13)","-0.02 (0.24)","-1.2 (3.61)"
"East Siberian Sea","0e+00 (1e-07)","1.65 (9.81)","0 (0.05)","1.14 (6.26)"
"Faroe Plateau","0e+00 (2e-07)","-0.25 (5.73)","0 (0.04)","-0.03 (2.63)"
"Greenland Sea","0e+00 (1e-07)","-0.76 (18.41)","0 (0.04)","-0.46 (11.07)"
"Guinea Current","-1e-07 (3.8e-06)","-1.03 (5.33)","0 (0.13)","-0.41 (1.64)"
"Gulf of Alaska","0e+00 (1.5e-06)","0.03 (10.28)","0 (0.19)","-0.14 (3.58)"
"Gulf of California","-4e-07 (5e-07)","-3.82 (3.21)","-0.03 (0.02)","-1.25 (1.04)"
"Gulf of Mexico","0e+00 (2.1e-06)","-0.81 (11.2)","0 (0.06)","-0.21 (3.45)"
"Gulf of Thailand","0e+00 (2.1e-06)","1.05 (15.52)","0 (0.04)","0.29 (2.87)"
"Hudson Bay Complex","0e+00 (6e-07)","-3.36 (37.01)","-0.01 (0.2)","-1.61 (16.12)"
"Humboldt Current","0e+00 (2.4e-06)","-1.04 (6.46)","0 (0.13)","-0.24 (2.15)"
"Iberian Coastal","0e+00 (2e-07)","0.02 (1.72)","0 (0.01)","0.01 (0.56)"
"Iceland Shelf and Sea","0e+00 (2e-07)","-1.04 (5.54)","-0.01 (0.05)","-0.52 (2.68)"
"Indonesian Sea","0e+00 (3.3e-06)","-1.61 (9.81)","0 (0.09)","-0.71 (3.32)"
"Insular Pacific-Hawaiian","0e+00 (1e-07)","0.36 (2.36)","0 (0)","0.06 (0.61)"
"Kara Sea","0e+00 (1e-07)","-3.31 (11.96)","-0.01 (0.06)","-2.3 (7.9)"
"Kuroshio Current","0e+00 (1.6e-06)","1.29 (17.57)","0 (0.09)","0.02 (5.44)"
"Labrador - Newfoundland","-1e-07 (1.2e-06)","-2.45 (13.72)","-0.04 (0.24)","-0.61 (5.01)"
"Laptev Sea","0e+00 (0e+00)","-1.28 (11.5)","0 (0.03)","-0.68 (6.43)"
"Mediterranean Sea","0e+00 (1e-06)","-1.16 (4.31)","0 (0.03)","-0.35 (1.15)"
"New Zealand Shelf","0e+00 (4e-07)","-0.75 (4.55)","0 (0.03)","-0.23 (1.44)"
"North Australian Shelf","0e+00 (9e-07)","-0.77 (3.91)","0 (0.02)","-0.28 (1.09)"
"North Brazil Shelf","-1e-06 (4.41e-05)","-11.2 (17.7)","-0.05 (1.19)","-3.63 (7.79)"
"North Sea","0e+00 (4.3e-06)","-0.41 (7.47)","-0.01 (0.35)","-0.26 (2.69)"
"Northeast Australian Shelf","0e+00 (1.2e-06)","0.75 (19.27)","0 (0.03)","0.15 (3.35)"
"Northeast U.S. Continental Shelf","0e+00 (1.62e-05)","-1.87 (6.82)","-0.11 (0.61)","-0.66 (2.15)"
"Northern Bering - Chukchi Seas","0e+00 (5e-07)","-0.34 (8.37)","0 (0.17)","-0.14 (4.42)"
"Northwest Australian Shelf","-1e-07 (5e-07)","-2.08 (3.23)","0 (0.01)","-0.6 (0.93)"
"Norwegian Sea","0e+00 (3e-07)","-1.9 (9.02)","-0.01 (0.07)","-0.79 (4.99)"
"Oyashio Current","-5e-07 (1.5e-06)","-3.6 (9.67)","-0.07 (0.23)","-1.18 (3.04)"
"Pacific Central-American Coastal","0e+00 (1.8e-06)","-1.73 (6.6)","0 (0.07)","-0.45 (2.22)"
"Patagonian Shelf","0e+00 (4.5e-06)","-0.12 (9.41)","0 (0.27)","-0.04 (2.99)"
"Red Sea","-1e-07 (1.5e-06)","-2.68 (2.31)","0 (0.04)","-0.78 (0.69)"
"Scotian Shelf","0e+00 (3.2e-06)","0.24 (7.01)","0 (0.45)","0.07 (1.89)"
"Sea of Japan","-1e-07 (1.1e-06)","-2.56 (4.59)","-0.04 (0.09)","-0.83 (1.45)"
"Sea of Okhotsk","0e+00 (1.5e-06)","0.04 (8.34)","0 (0.31)","0.05 (3.04)"
"Somali Coastal Current","-5e-07 (1.5e-06)","-7.71 (11.95)","-0.02 (0.05)","-2.57 (4.1)"
"South Brazil Shelf","-5e-07 (2.52e-05)","-8.84 (8.24)","-0.02 (1.21)","-2.89 (3.28)"
"South China Sea","-1e-07 (4.7e-06)","-2.78 (11.47)","0 (0.1)","-0.96 (3.78)"
"South West Australian Shelf","0e+00 (3e-07)","-1.04 (4.21)","0 (0.01)","-0.28 (1.19)"
"Southeast Australian Shelf","0e+00 (6e-07)","-0.47 (6.66)","0 (0.03)","-0.19 (2.23)"
"Southeast U.S. Continental Shelf","0e+00 (4.1e-06)","2.31 (30.17)","0 (0.11)","0.94 (7.64)"
"Sulu-Celebes Sea","-3e-07 (2.6e-06)","-9.66 (24.07)","-0.01 (0.07)","-2.88 (5.06)"
"West Bering Sea","-1e-07 (1.1e-06)","-2.5 (8.01)","-0.03 (0.24)","-0.98 (3.3)"
"West Central Australian Shelf","0e+00 (4e-07)","-0.81 (5.63)","0 (0.01)","-0.28 (1.41)"
"Yellow Sea","0e+00 (6.3e-06)","0.22 (6.15)","0 (0.39)","0.02 (1.7)"
